player_id,injury_index
519869,1
375371,4
648028,2
284178,1
603122,2
1111045,4
391766,3
565009,2
345647,2
271755,2
235371,2
392774,3
171209,2
80894,3
336869,2
316590,2
692036,4
108354,2
1051756,2
810096,2
138927,3
1185046,2
334665,2
74861,3
997474,2
461843,2
165334,3
756990,2
464373,2
408534,2
701769,4
586746,2
408574,1
711159,4
284526,3
290256,3
504617,2
177130,4
258475,2
1182970,2
480774,2
816702,2
429929,1
228433,2
35645,2
510578,2
173589,2
700669,4
187295,2
284728,2
198816,3
522253,1
798772,1
652270,2
278566,4
30670,3
160624,2
103819,2
187945,2
555499,1
537367,2
347253,1
276998,2
1261029,2
157766,2
333650,2
496857,1
934527,1
314398,3
81512,3
620493,2
399361,2
53847,3
170927,2
474143,2
134425,3
349873,2
606850,2
555820,2
452222,1
585950,2
614464,2
159258,3
234790,2
646402,2
812990,4
448699,2
934523,2
239972,2
528618,2
862753,1
250437,2
633992,2
392131,1
337372,2
925808,4
858772,4
253316,2
670717,2
1020363,2
117674,3
42717,2
667903,2
454386,2
149577,3
649031,2
375434,2
356197,3
291383,2
540333,2
307427,2
340459,2
261931,2
393964,4
365861,2
129722,2
382554,2
718876,4
1050116,3
195745,2
818285,2
209808,2
244273,3
289396,1
483495,2
144782,2
824006,4
607034,2
1180073,2
128900,3
167741,2
211671,2
70699,2
570522,2
127769,2
536482,3
503329,2
577259,2
312041,2
1118874,4
48066,3
236495,2
513124,1
266302,3
569389,1
820474,2
422051,2
260838,4
273904,2
864112,2
76028,3
343393,2
388001,2
321050,1
537765,2
324177,2
291090,3
854853,2
177779,2
217317,2
402119,2
208379,2
167329,3
440380,2
38780,2
829969,2
874223,1
731525,2
315237,2
406094,1
397696,1
1089202,1
627040,2
359199,2
46111,2
289847,2
140105,2
135038,3
559324,1
140559,2
187530,2
742034,2
995509,2
632372,4
892531,2
798929,3
221992,2
258364,2
372236,2
92164,2
701062,2
370566,2
524315,1
129654,3
414054,2
285754,2
111078,3
159668,2
83119,2
780615,2
157535,2
606136,2
733100,4
388198,3
603230,2
939523,2
599418,3
636170,3
74241,2
604504,2
139394,3
347544,4
191707,3
35004,2
86202,3
668676,2
189785,2
386047,2
166725,2
706896,2
716282,2
175792,2
1087412,2
582131,2
600418,2
461943,3
864118,2
438961,2
503871,2
523213,2
660342,1
440247,4
81787,2
249866,4
460245,3
109881,3
307419,2
165579,2
357992,3
688779,2
273738,2
569470,2
323954,2
524566,2
646894,2
169907,2
227676,2
446803,2
226006,3
865641,2
183165,2
687983,1
718171,4
542654,2
522084,2
315753,2
655669,2
665309,2
347619,3
669633,2
789252,2
520405,2
373150,2
766306,2
539811,1
129661,2
175863,2
295381,2
312625,4
620295,2
118158,2
346468,3
861981,1
346237,2
317442,2
415034,2
291110,3
113336,2
387579,2
457940,3
111881,3
316871,2
381138,2
191891,3
604813,2
379804,1
338195,2
553818,2
527967,2
372267,2
440383,2
11111,2
321528,2
340194,4
565822,2
324223,2
169801,2
579299,2
351563,2
234029,1
99923,2
